Venba,Pathavurai
"உயிரின் கிழவோ னுடம்பிலித யத்தே
செயிர்தீரச் சேர்ந்துகிட வானேற் பயில்வதேன்
யாவருநா னென்னும்போ தவ்விதயஞ் சேர்வலது
மார்வந்தாந் தட்டும் வழக்கு",உயிரின் கிழவோன் உடம்பில் இதயத்தே செயிர் தீரச் சேர்ந்து கிடவானேல் பயில்வது ஏன் யாவரும் நான் என்னும்போது அவ் இதயம் சேர் வலது மார்வம் தாம் தட்டும் வழக்கு
"அனைத்துந்தோன் றுந்நிலைக்கண் ணாடியென லாகும்
இனைத்தெனலா காமெய் யிதயம் தனித்தொளிரும்
வெற்றுணர்வாய் விஞ்சு விமலவெளி யாமஃதே
முற்றுமுழு மோன முதல்",அனைத்தும் தோன்றும் நிலைக் கண்ணாடி எனல் ஆகும் இனைத்து எனல் ஆகா மெய் இதயம் தனித்து ஒளிரும் வெற்று உணர்வாய் விஞ்சு விமல வெளியாம் அஃதே முற்று முழு மோன முதல்
"இதயக் கருவே யெவற்றுக்கு மாதி
இதயக் கருவே யிடையும் இதயக்
கருவே யிறுதி கனவிசும் பாமஃ
துருவேயன் றுண்மை யொளி",இதயக் கருவே எவற்றுக்கும் ஆதி இதயக் கருவே இடையும் இதயக் கருவே இறுதி கன விசும்பாம் அஃது உருவே அன்று உண்மை ஒளி
"போத சொரூபப் புணரியாந் தன்னகத்துச்
சாதலுறும் புத்தி சசாமெளனம் மோதப்பே
ரின்பக் கடலா மிதயப் பரவெளியே
யன்புசேர் தன்மெய் யகம்",போத சொரூபப் புணரி ஆம் தன் அகத்துச் சாதல் உறும் புத்தி சதா மெளனம் மோதப் பேர் இன்பக் கடல் ஆம் இதயப் பரவெளியே அன்புசேர் தன் மெய் அகம்
"அன்னியமொன் றின்றி யகண்டபரி பூரணமா
மன்னியதுன் னாலே மதிப்பரிதால் எந்நினைவும்
எண்ணா திருந்தொளிர்மெய் யின்பா மிதயமே
அண்ணா மலையெனான் மா",அன்னியம் ஒன்று இன்றி அகண்ட பரிபூரணமா மன்னியது உன்னாலே மதிப்பு அரிதால் எந்நினைவும் எண்ணாது இருந்து ஒளிர் மெய் இன்பு ஆம் இதயமே அண்ணாமலை என் ஆன்மா
"அந்தவித யத்தை யறிந்தா ரவலமுறார்
பந்தமதி கெட்டார் பரமானார் தொந்த
நினைப்பற்றா ருள்ளே நிசபரமா னந்த
முனைப்புற்றார் மோக முசித்து",அந்த இதயத்தை அறிந்தார் அவலம் உறார் பந்த மதி கெட்டார் பரம் ஆனார் தொந்த நினைப்பு அற்றார் உள்ளே நிச பரம ஆனந்த முனைப்பு உற்றார் மோகம் முசித்து
"அகத்தும் புறத்து மணைவதாய் நின்றே
அகத்தும் புறத்துமதின் றாகும் அகம்புறங்கள்
என்னும்பே தத்துக் கிடமாகத் தோன்றுமுடல்
உன்னுமனக் கற்பனையா லோர்",அகத்தும் புறத்தும் அணைவதாய் நின்றே அகத்தும் புறத்தும் அது இன்று ஆகும் அகம் புறங்கள் என்னும் பேதத்துக்கு இடமாகத் தோன்றும் உடல் உன்னும் மனக் கற்பனை ஆல் ஓர்
"தன்னு ளுடலிருக்கத் தானுடலுட் டுன்னுவதா
வுன்னுமூ டாணவஞ்சே ரோர்மனிதன் மன்னுமூ
லாதாரச் சீரையகத் தாடுநிழற் சித்திரத்தூ
டேய்தலா வஃதெண் ணினோன்",தன் உள் உடல் இருக்கத் தான் உடல் உள் துன்னுவதா உன்னும் மூட ஆணவம் சேர் ஓர் மனிதன் மன்னு மூலாதாரச் சீரை அகத்து ஆடும் நிழல் சித்திரத்து ஊடு ஏய்தலா அஃது எண்ணினோன்
"ஆகலினவ் வாகவடி வாகுமகங் காரமறச்
சாகலைத்தாங் கண்ட சமர்த்தரே மோகம்
அறத்தெளிந்த நுட்பமதி யாலதனை யெங்கும்
உறத்தெரிந்து சேர்வ ருயர்வு",ஆகலின் அவ் ஆக வடிவு ஆகும் அகங்காரம் அறச் சாகலைத் தாம் கண்ட சமர்த்தரே மோகம் அறத் தெளிந்த நுட்ப மதியால் அதனை எங்கும் உறத் தெரிந்து சேர்வர் உயர்வு
"ஆண்டவன் மோன வருட்சீ ரனுபூதி
யீண்ட விளங்கு மிதயமே காண்டலரும்
பல்வகைய போகப் பதங்களும்புற் கென்றொழிய
வெல்வதொரு கைவல் லியம்",ஆண்டவன் மோன அருள் சீர் அனுபூதி ஈண்ட விளங்கும் இதயமே காண்டல் அரும் பல்வகைய போகப் பதங்களும் புற்கு என்று ஒழிய வெல்வது ஒரு கைவல்லியம்
"விக்கேப மோகமற வீந்துண்மை மாத்திரமாத்
தொக்கேயுஞ் சுத்தந் துலங்குளமே மிக்க
நயந்தருவா னாள்வோரு நாட்டமுறுஞ் சீர்சால்
உயர்ந்தபர மான்ம வுலகு",விக்கேப மோகம் அற வீந்து உண்மை மாத்திரமாத் தொக்கு ஏயும் சுத்தம் துலங்கு உளமே மிக்க நயம் தரு வான் ஆள்வோரும் நாட்டம் உறும் சீர்சால் உயர்ந்த பரமான்ம உலகு
"எந்தவுட லேனுமுடல் யானென்னு மெண்ணம்போய்ப்
பந்தமற நின்றொளிர்சற் பானமே சிந்தும்
சகல வுயிருளமுந் தன்மயமாத் தங்கும்
அகிலபரா சத்தி யறி",எந்த உடலேனும் உடல் யான் என்னும் எண்ணம் போய்ப் பந்தம் அற நின்று ஒளிர் சத் பானமே சிந்தும் சகல உயிர் உளமும் தன்மயமாத் தங்கும் அகில பராசத்தி அறி
"தொந்தமற வுள்ளத்துட் சும்மா விருந்தொளிரும்
இந்தவுணர் வாமெய் யியற்கையே மந்த
அவுணவியல் பாய வகந்தைமதி காணா
மவுனமெனு ஞான வரம்பு",தொந்தம் அற உள்ளத்து உள் சும்மா இருந்து ஒளிரும் இந்த உணர்வு ஆம் மெய் இயற்கையே மந்த அவுண இயல்பு ஆய அகந்தைமதி காணா மவுனம் எனும் ஞான வரம்பு
"அந்த விலாச மமைந்தோனே தன்னடைந்த
எந்த வுயிரையுந்தன் னின்னருளாற் றொந்தமிலாச்
சொல்லருஞா னான்ம சொருபத்திற் சேர்க்கமிக
வல்லகுரு வாக மதி",அந்த விலாசம் அமைந்தோனே தன் அடைந்த எந்த உயிரையும் தன் இன் அருளால் ட இலாச் சொல் அரும் ஞான ஆன்ம சொருபத்தில் சேர்க்க மிக வல்ல குருவாக மதி
"பரத்துவமா மோனப் பதவொளியில் யானற்
றுருத்தபர பத்தியுணர் வூற்றாங் கருத்தின்
றிரத்துவமா முத்தமசச் சீடத் துவமே
குருத்துவமாக் கொள்க குறித்து",பரத்துவம் ஆம் மோனப் பத ஒளியில் யான் அற்று உருத்த பர பத்தி உணர்வு ஊற்று ஆம் கருத்தின் திரத்துவம் ஆம் உத்தம சத் சீடத்துவமே குருத்துவமாக் கொள்க குறித்து
"ஆன்மசொரூ பத்துக் கபிமுகமாச் சேர்த்துயிருக்
கான்மபர போத மளிப்போனே ஆன்ம
சொரூபமா மீசன் சொரூபமென் றான்றோர்
பராவுங் குருபரனாப் பற்று",ஆன்ம சொரூபத்துக்கு அபிமுகமாச் சேர்த்து உயிருக்கு ஆன்ம பரபோதம் அளிப்போனே ஆன்ம சொரூபம் ஆம் ஈசன் சொரூபம் என்று ஆன்றோர் பராவும் குருபரனாப் பற்று
"அடைந்தவர்க்குப் பின்னுமொன்றை யாணை யிடுவோன்
அடைந்தகொடுங் கூற்றுவிதி யாவான் அடைந்தவரைச்
செய்வன செய்து முடித்தோராத் தீர்ப்போனே
தெய்வ வருட்குருவாத் தேர்",அடைந்தவர்க்குப் பின்னும் ஒன்றை ஆணை இடுவோன் அடைந்த கொடும் கூற்று விதி ஆவான் அடைந்தவரைச் செய்வன செய்து முடித்தோராத் தீர்ப்போனே தெய்வ அருள் குருவாத் தேர்
"வெளியே குருவொருவன் வேண்டப் படுகை
களிசேருன் மத்தக் கருத்தால் வெளிப்பாய்ந்து
சச்சித்தா மான்மா சதாவிதயத் தோதுமெய்யை
நச்சித்தாங் கேளாமை யால்",வெளியே குரு ஒருவன் வேண்டப்படுகை களி சேர் உன்மத்தக் கருத்தால் வெளிப் பாய்ந்து சத் சித்து ஆம் ஆன்மா சதா இதயத்து ஓதும் மெய்யை நச்சித் தாம் கேளாமை யால்
"எலாவற் றிலுந்தா னெலாமா விருந்து
குலாவுசற் போதங் குரு",எலாவற்றிலும் தான் எலாமா இருந்து குலாவு சத் போதம் குரு
"ஈண்டுமா மோக விருள்சே ரிருவினையாற்
பூண்டசமு சாரப் புலப்பத்தோர்க் காண்ட
குருவருளிற் கொள்ளுங் குதூகலமே சிந்தைப்
பருவரலைப் பாற்று மருந்து",ஈண்டு மா மோக இருள் சேர் இருவினையால் பூண்ட சமுசாரப் புலப்பத்தோர்க்கு ஆண்ட குரு அருளில் கொள்ளும் குதூகலமே சிந்தைப் பருவரலைப் பாற்றும் மருந்து
"பசையா முவப்புவர்ப்புப் பற்றிச் செயலால்
வசைசேர் வினையின் வசத்தால் விசியுண்
டடுப்பா ரவல மகற்றிவீட் டின்பம்
கொடுப்பானே போலுங் குரு",பசை ஆம் உவப்பு உவர்ப்புப் பற்றிச் செயலால் வசை சேர் வினையின் வசத்தால் விசி உண்டு அடுப்பார் அவலம் அகற்றி வீட்டு இன்பம் கொடுப்பானே போலும் குரு
"பொய்யைமெய் யாகப் புலம்புவார்க் கம்மாய
மெய்யைப்பொய் யாக விளக்குவான் வையமிசைத்
தூலமா யுற்ற சுடர்க்குஞ் சுடரொளியாம்
கோலமா யுற்ற குரு",பொய்யை மெய் ஆகப் புலம்புவார்க்கு அம்மாய மெய்யைப் பொய் ஆக விளக்குவான் வையம் மிசைத் தூலமாய் உற்ற சுடர்க்கும் சுடர் ஒளியாம் கோலமாய் உற்ற குரு
"ஊனலகு வாக வுழலுயிரை யூனகந்தை
யானலகுத் தன்மை யறவொழித்து ஞானபரி
பூரணமெய்த் தன்மை புணர்ப்போ னருள்வெளியாங்
கூரியமெய்ஞ் ஞான குரு",ஊன லகு ஆக உழல் உயிரை ஊன் அகந்தை ஆன லகுத் தன்மை அற ஒழித்து ஞான பரி பூரண மெய்த் தன்மை புணர்ப்போன் அருள்வெளி ஆம் கூரிய மெய்ஞ் ஞான குரு
"அலகிலா மாட்சிசே ரான்மாவே யாகக்
குலவுமெய்ஞ் ஞானக் குரிசில் உலகக்
கறைபிடித்த மோகக் கறட்டுவா தத்தை
முறியடிக்கும் மோன முதல்",அலகு இலா மாட்சி சேர் ஆன்மாவே ஆகக் குலவு மெய்ஞ் ஞானக் குரிசில் உலகக் கறை பிடித்த மோகக் கறட்டு வாதத்தை முறியடிக்கும் மோன முதல்
"இல்ல திலதாக வேகப் பரஞ்சுடராய்
உள்ள துளதா வொளிருமா றொல்லெனவே
இல்லா துளனா யினானைத்தன் கண்ணிணையாற்
கொல்லாது கொல்வான் குரு",இல்லது இலது ஆக ஏகப் பரம் சுடராய் உள்ளது உளதா ஒளிருமாறு ஒல் எனவே இல்லாது உளன் ஆயினானைத் தன் கண் இணையால் கொல்லாது கொல்வான் குரு
"வெட்டி மனப்பேயை வீழ்த்திய மெய்ஞ்ஞானப்
பட்டயவாள் வீர ரருட்பலத்தால் பட்டிமன
மானகுரங் காட்டமறி லன்றியகத் தற்புதமெய்ஞ்
ஞானநடங் காண்ட லரிது",வெட்டி மனப்பேயை வீழ்த்திய மெய்ஞ்ஞானப் பட்டய வாள் வீரர் அருள் பலத்தால் பட்டி மனம் ஆன குரங்கு ஆட்டம் அறில் அன்றி அகத்து அற்புத மெய்ஞ்ஞான நடம் காண்டல் அரிது
"அவிச்சைநன வாங்கனா வாசானாற் சீடர்
கவிச்சமயல் போய்த்தெளிவர் காணாய் பவிச்ச
கனாவகத்துக் கண்டசிங் கத்தாலே யானை
தனாதுதுயில் போய்விழித்தல் சான்று",அவிச்சை நனவு ஆம் கனா ஆசானால் சீடர் கவிச்ச மயல் போய்த் தெளிவர் காணாய் பவிச்ச கனா அகத்துக் கண்ட சிங்கத்தாலே யானை தனாது துயில் போய் விழித்தல் சான்று
"நல்லா சிரியரருண் ஞானவிழிப் பட்டோர்தாம்
வல்லியத்து வாய்ப்பட்ட மான்போலப் புல்லியல்போய்க்
கைவலியங் காணக் கடவரலா லெஞ்ஞான்றும்
கைவிடத் தாம்படார் காண்",நல் ஆசிரியர் அருள் ஞான விழிப்பட்டோர் தாம் வல்லியத்து வாய்ப்பட்ட மான்போலப் புல் இயல் போய்க் கைவலியம் காணக் கடவர் அலால் எஞ்ஞான்றும் கைவிடத் தாம் படார் காண்
"ஆதித் தனைப்போ லபரிமித ஞானகுரு
பாதத் தொளியிற் படிந்தமனம் போத
சொருபத்திற் கற்பிதமாத் தோன்றலுறும் பேதத்
திரயத்திற் சேர்த லிலை",ஆதித்தனைப் போல் அபரிமித ஞானகுரு பாதத்து ஒளியில் படிந்த மனம் போத சொருபத்தில் கற்பிதமாத் தோன்றல் உறும் பேதத் திரயத்தில் சேர்தல் இலை
"ஒருசேட மாக வொளிரொளியைக் காட்டித்
தருமோன வள்ளலாய்த் தங்கும் குருசீடர்
கண்ணொடு கண்ணிணை நோக்கொக்கின் வாய்ச்சொற்கள்
என்ன பயனு மில",ஒரு சேடம் ஆக ஒளிர் ஒளியைக் காட்டித் தரும் மோன வள்ளலாய்த் தங்கும் குரு சீடர் கண்ணொடு கண் இணை நோக்கு ஒக்கின் வாய்ச்சொற்கள் என்ன பயனும் இல
"ஆண்டா னருளா லதுவே யகத்தகமா
மூண்டொளிரு மென்பர்முழு மூதறிஞர் காண்டலரு
வேதாந்த மான விசுத்தமோ னத்தொளிரும்
போதாந்த மாமெய்ப் பொருள்",ஆண்டான் அருளால் அதுவே அகத்து அகமா மூண்டு ஒளிரும் என்பர் முழு மூது அறிஞர் காண்டல் அரு வேதாந்தம் ஆன விசுத்த மோனத்து ஒளிரும் போதாந்தம் ஆம் மெய்ப் பொருள்
"பன்னற் கரிய பரமகுரு வின்னருளை
உன்னற் குரியபடி யுன்னியே முன்னிற்கும்
பொய்ம்மாயத் தோற்றப் புணர்ப்பிற் புகுதாது
சும்மா விருப்பே சுகம்",பன்னற்கு அரிய பரமகுரு இன் அருளை உன்னற்கு உரியபடி உன்னியே முன் நிற்கும் பொய்ம்மாயத் தோற்றப் புணர்ப்பில் புகுதாது சும்மா இருப்பே சுகம்
"யானா ரெனவிசா ரித்தோ விறையடியை
ஆனாது சிந்தித் தகங்குழைந்தோ ஊனமுறு
கள்ளமே லிட்டவகங் காரவொழுக் கங்கடிந்த
உள்ளமே ஞான வொளி",யான் ஆர் என விசாரித்தோ இறை அடியை ஆனாது சிந்தித்து அகம் குழைந்தோ ஊனம் உறு கள்ளம் மேலிட்ட அகங்கார ஒழுக்கம் கடிந்த உள்ளமே ஞான ஒளி
"ஆண்டா னருளா லமைதி யடையிலன்றி
யாண்டு மெவர்க்கும்மற் றெத்திறத்தும் வேண்டுவதோர்
சாந்தி விளைவதன்று சந்ததமு மவ்வருளே
யோர்ந்திடுக வுள்ளத் தொருங்கு",ஆண்டான் அருளால் அமைதி அடையில் அன்றி யாண்டும் எவர்க்கும் மற்று எத்திறத்தும் வேண்டுவதோர் சாந்தி விளைவது அன்று சந்ததமும் அவ்வருளே ஓர்ந்திடுக உள்ளத்து ஒருங்கு
"உய்ந்துபோ வாருக் குறுதி யுரைக்குங்கால்
ஐந்து மகப்படுக்கு மாமைபோல் ஐந்தும்
அடங்கி யொடுங்கி யகநோக்கிச் சிந்தை
மடங்கி யிருப்பே மகிழ்வு",உய்ந்து போவாருக்கு உறுதி உரைக்குங்கால் ஐந்தும் அகப்படுக்கும் ஆமை போல் ஐந்தும் அடங்கி ஒடுங்கி அகம் நோக்கிச் சிந்தை மடங்கி இருப்பே மகிழ்வு
"விளங்குவதா நிற்பதுதன் மெய்யான வுண்மை
உளங்கொளா யஃதே யுறுதி களங்கமறக்
கண்டுணர்ந்தா லுண்மைக் கடவுளொரு தன்வடிவா
மண்டுவதா மின்ப மயம்",விளங்குவதா நிற்பது தன் மெய்யான உண்மை உளம் கொளாய் அஃதே உறுதி களங்கம் அறக் கண்டு உணர்ந்தால் உண்மைக் கடவுள் ஒரு தன்வடிவா மண்டுவது ஆம் இன்ப மயம்
"பற்பலவுட் சிற்சிலவும் பார்ப்பானை யன்றியிலாச்
சொற்பனமே யாகத் துணிவுற்றுக் கற்பனையாம்
நாமரூ பத்துலகை நாடா தறிவுருவாம்
ஏமப் பொருளையே யெண்",பற்பலஉள் சிற்சிலவும் பார்ப்பானை அன்றி இலாச் சொற்பனமே ஆகத் துணிவு உற்றுக் கற்பனை ஆம் நாம ரூபத்து உலகை நாடாது அறிவு உருவு ஆம் ஏமம் பொருளையே எண்
"ஏக சொரூபமா வென்று மிருந்தொளிரும்
பாகமில்சுத் தான்மபர பாவனையே மோக
வுடல்சே ருயிருக் கொழியாப் பிறவிக்
கடலைக் கடத்தும் புணை",ஏக சொரூபமா என்றும் இருந்து ஒளிரும் பாகம் இல் சுத்த ஆன்மபர பாவனையே மோக உடல் சேர் உயிருக்கு ஒழியாப் பிறவிக் கடலைக் கடத்தும் புணை
"ஒன்றான வுண்மை யுணர்ந்தாலே யன்றியுயிர்க்
கென்றும்பொய்ம் மோக மிகத்தலிலை தொன்றுதொட்
டன்னியமென் றென்றுமின்றி யான்ம சொரூபமாத்
தன்னிலொளிர் சுத்தசச் சித்து",ஒன்று ஆன உண்மை உணர்ந்தாலே அன்றி உயிர்க்கு என்றும் பொய்ம் மோகம் இகத்தல் இலை தொன்று தொட்டு அன்னியம் என்றென்றும் இன்றி ஆன்ம சொரூபமாத் தன்னில் ஒளிர் சுத்த சத் சித்து
"உலகவிட யத்தி னொழியா துழலும்
கலகமன மாயை கடிந்தே சலவகந்தை
செத்துச் சிவமயமாய்த் தீர்ந்துலல வாதனையபோய்ச்
சுத்தவறி வாகத் துலங்கு",உலக விடயத்தின் ஒழியாது உழலும் கலக மன மாயை கடிந்தே சல அகந்தை செத்துச் சிவமயமாய்த் தீர்ந்து உலக வாதனை போய்ச் சுத்த அறிவு ஆகத் துலங்கு
"அழலா மநான்மவிட யத்துவெறு மண்டின்
றுழலா தொழியா துளதண் ணிழலாய்
விரிந்தார்ந்த சாந்தியொளிர் வீடா மிதயம்
பொருந்தான்ம போகம் புசி",அழல் ஆம் அநான்ம விடயத்து வெறும் மண் தின்று உழலாது ஒழியாது உள தண் நிழலாய் விரிந்து ஆர்ந்த சாந்தி ஒளிர் வீடு ஆம் இதயம் பொருந்து ஆன்ம போகம் புசி
"பத்தியுளம் பொங்கப் பரன்பதமே தஞ்சமாம்
புத்தியொடு செய்தவமேற் பூண்டோயே சத்திதரு
சித்திப்பே ராசையறத் தீர்ந்தே சதாசிவமாம்
முத்திப்பே ரின்ப முயங்கு",பத்தி உளம் பொங்கப் பரன் பதமே தஞ்சம் ஆம் புத்தியொடு செய்தவம் மேல் பூண்டோயே சத்தி தரு சித்திப் பேராசை அறத் தீர்ந்தே சதாசிவம் ஆம் முத்திப் பேரின்பம் முயங்கு
"அனர்த்தமறு மெய்யா மரன்வா லறிவின்
கனத்தபிழம் பாமொண் கழலை மனத்து
நினைப்புமறப் பொன்று நிகழா தருளின்
முனைப்புவசப் பட்டு முயங்கு",அனர்த்தம் அறு மெய்யாம் அரன் வால் அறிவின் கனத்த பிழம்பு ஆம் ஒண் கழலை மனத்து நினைப்பு மறப்பு ஒன்றும் நிகழாது அருளின் முனைப்பு வசப்பட்டு முயங்கு
"அருளையே முன்னிட் டடங்கினா லன்றி
மருளகந்தை சேர்ந்த மனத்தான் வெருள்சேர்
கலக்கமொரு காலுங் கழன்றிடான் சற்றும்
வெலற்கரிது வேக வினை",அருளையே முன்னிட்டு அடங்கினால் அன்றி மருள் அகந்தை சேர்ந்த மனத்தான் வெருள் சேர் கலக்கம் ஒருகாலும் கழன்றிடான் சற்றும் வெலற்கு அரிது வேக வினை
"ஆசா னநுபூதி யாச்சீ டனுக்கருளும்
தேசார் மொழியேயுச் சிட்டமாம் பேசாது
நிட்டா பரனாக நிற்றலே யுச்சிட்டம்
உட்டான் கொளலா முணர்",ஆசான் அறநுபூதியாச் சீடனுக்கு அருளும் தேசு ஆர் மொழியே உச்சிட்டம் ஆம் பேசாது நிட்டா பரன் ஆக நிற்றலே உச்சிட்டம் உள் தான் கொளல் ஆம் உணர்
"மோனகுரு வாய முழுமுதலுக் கூணாக
மானமாந் தன்னை வழங்கிப்பின் பானமாய்
எஞ்சிய தன்னை யிதயத்துட் கோடலே
விஞ்சுமுச் சிட்ட மிசைவு",மோன குரு ஆய முழுமுதலுக்கு ஊணாக மானம் ஆம் தன்னை வழங்கிப் பின் பானம் ஆய் எஞ்சிய தன்னை இதயத்துள் கோடலே விஞ்சும் உச்சிட்டம் இசைவு
"பாவமெலாம் பாற்றும் பரம பவித்திரமாம்
தேவர் மிசைந்தபரி சேடமென்பர் பூவுலகிற்
சச்சிட்டர் வாழுஞ் சதாசார வாழ்வேயவ்
வுச்சிட்ட மாக்கொ ளுளத்து",பாவம் எலாம் பாற்றும் பரம பவித்திரம் ஆம் தேவர் மிசைந்த பரிசேடம் என்பர் பூ உலகில் சத் சிட்டர் வாழும் சதாசார வாழ்வே அவ் உச்சிட்டமாக் கொள் உளத்து
"உரிமையா லாண்டானுக் குற்றசச் சீடர்
மரியாதை யாற்று மரபு தெரிவை
இறைவற் கியற்றுமரி யாதையே யென்ன
அறியிற் புறத்துமட்டே யாம்",உரிமையால் ஆண்டானுக்கு உற்ற சத் சீடர் மரியாதை ஆற்றும் மரபு தெரிவை இறைவற்கு இயற்றும் மரியாதையே என்ன அறியில் புறத்து மட்டே ஆம்
"கோதறுமெய்ஞ் ஞானக் கொழுந்தாங் குருமூர்த்தி
பாதமநு சந்திக்கும் பான்மையோர்க் கேதமறு
பத்திதரு மந்தப் பரனருளான் மெய்ஞ்ஞான
சித்திவருஞ் சித்தந் தெளிந்து",கோது அறு மெய்ஞ்ஞானக் கொழுந்து ஆம் குருமூர்த்தி பாதம் அநுசந்திக்கும் பான்மையோர்க்கு ஏதம் அறு பத்தி தரும் அந்தப் பரன் அருளால் மெய்ஞ்ஞான சித்தி வரும் சித்தம் தெளிந்து
"குருபரன் பாதங் குறிக்கொண் டொழுகுந்
திருவுடையோர்க் கன்பு செழிக்கும் மருவுசிவ
மெய்யன்பே ஞானமாய் வேற்றுப்பொய் யாசைகளை
நையவே சுட்டெரிக்கு நன்கு",குருபரன் பாதம் குறிக்கொண்டு ஒழுகும் திரு உடையோர்க்கு அன்பு செழிக்கும் மருவு சிவ மெய் அன்பே ஞானம் ஆய் வேற்றுப் பொய் ஆசைகளை நையவே சுட்டு எரிக்கும் நன்கு
"என்னையடை வாயே லிருவினையின் கட்டினின்று
முன்னைவிடு விப்பே னுணரென்று தன்னை
யடையச்சொல் கின்றா னருட்கடலாங் கண்ணன்
இடையர்ச் சுனனைமுன் னிட்டு",என்னை அடைவாயேல் இருவினையின் கட்டில் நின்றும் உன்னை விடுவிப்பேன் உணர் என்று தன்னை அடையச் சொல்கின்றான் அருள் கடல் ஆம் கண்ணன் இடை அர்ச்சுனனை முன்னிட்டு
"வருவா தனைமாய்த்து மாயமோ கத்தால்
வெருவாத ஞானம் விளைக்கும் குருபாத
வந்தனையார் பத்தி வழிபாடே யுண்மையுறு
மந்திரமாம் புந்தி மதி",வரு வாதனை மாய்த்து மாய மோகத்தால் வெருவாத ஞானம் விளைக்கும் குருபாத வந்தனை ஆர் பத்தி வழிபாடே உண்மை உறு மந்திரம் ஆம் புந்தி மதி
"ஞானகுரு வாக நடக்கும் பரசிவனுக்
கானவழி பாடனைத்து மாற்றிடினும் யானற்
றுயிர்க்குயிரா மந்த வுடையான்மாட் டொன்றும்
அயிக்கியமே போற்றி யடைவு",ஞான குரு ஆக நடக்கும் பரசிவனுக்கு ஆன வழிபாடு அனைத்தும் ஆற்றிடினும் யான் அற்று உயிர்க்கு உயிராம் அந்த உடையான் மாட்டு ஒன்றும் அயிக்கியமே போற்றி அடைவு
"ஏன்றநா னாரெனவுள் ளேய்ந்தவுசா வாலெழுந்த
பூன்றவநு போககுரு போதநிலை ஊன்றலாற்
பொய்ச்சீட போதமறப் பொன்றலே தேசிகர்க்குச்
சச்சீடர் செய்பூ சனை",ஏன்ற நான் ஆர் என உள் ஏய்ந்த உசாவால் எழுந்த பூன்ற அநுபோக குருபோத நிலை ஊன்றலால் பொய்ச் சீட போதம் அறப் பொன்றலே தேசிகர்க்குச் சத் சீடர் செய் பூசனை
"குருசொருப மாகக் குலவுறுமெய்ஞ் ஞானப்
பருதியென வெங்கும் பரந்த பரவெளிக்கே
சீவமதி தோன்றாச் சிறப்பியல்பே செய்தக்க
தேவகுரு பூசை தெளி",குரு சொருபம் ஆகக் குலவு உறு மெய்ஞ்ஞானப் பருதி என எங்கும் பரந்த பரவெளிக்கே சீவ மதி தோன்றாச் சிறப்பு இயல்பே செய்தக்க தேவ குரு பூசை தெளி
"ஆத்தநடை யாற்றா லகமோ டிதமாகக்
கோத்தவடி வெல்லாங் குருவடிவாப் பார்த்தலுடை
ஞானகுரு போதமலி நாட்டமே சச்சீடர்க்
கானகுரு பூசை யறி",ஆத்த நடை ஆற்றால் அகமோடு இதம் ஆகக் கோத்த வடிவு எல்லாம் குரு வடிவாப் பார்த்தல் உடை ஞான குரு போதம் மலி நாட்டமே சச்சீடர்க்கு ஆன குரு பூசை அறி
"ஏகரச மாக விருந்தொளிரு மான்மாநு
போககுரு போதப் புணரியிலே தேக
உருவா மகந்தை யுணர்வாய வாலி
கரைவே குருபூசை காண்",ஏக ரசம் ஆக இருந்து ஒளிரும் ஆன்ம அநுபோக குருபோதப் புணரியிலே தேக உருவாம் அகந்தை உணர்வு ஆய ஆலி கரைவே குருபூசை காண்
"நீக்கமறு மாசா னிறைவுபரிச் சின்னமா
ஆக்கலுறு மாசா மகங்கார நோக்கம்
மருவா வியல்பே மலையிலக்கா நின்ற
குருபூ சனையின் குலா",நீக்கம் அறும் ஆசான் நிறைவு பரிச்சின்னமா ஆக்கல் உறு மாசு ஆம் அகங்கார நோக்கம் மருவா இயல்பே மலை இலக்கா நின்ற குருபூசனையின் குலா
"உடலாதி தேசிகனுக் கொப்படைத்த பின்பவ்
வுடலாதி யானெனதென் றுட்கொண் டிடலாய
தத்தாப காரச் சழக்குத் தவிர்தலே
சுத்தகுரு பூசை துணி",உடல் ஆதி தேசிகனுக்கு ஒப்படைத்த பின்பு அவ் உடல் ஆதி யான் எனது என்று உட்கொண்டிடல் ஆய தத்தாபகாரச் சழக்குத் தவிர்தலே சுத்த குருபூசை துணி
"அழலுமுத் தாபமவித் தாண்டகுரு நாதன்
கழலகன்று காண்புலவெங் கானற் குழலுமுயிர்ச்
சேட்டை யொடுங்கிச் செறிதலே தீர்த்தன்பூந்
தாட்டுணைக்குச் செய்பூ சனை",அழலும் முத்தாபம் அவித்து ஆண்ட குருநாதன் கழல் அகன்று காண் புல வெம் கானற்கு உழலும் உயிர்ச் சேட்டை ஒடுங்கிச் செறிதலே தீர்த்தன் பூம் தாள் துணைக்குச் செய் பூசனை
"மனத்துருவ மாய மயலா மகந்தை
தனைத்துருவி யுள்ளத்துட் சார்தல் அனைத்தே
மனாதீத மாய மவுனகுரு மூர்த்தி
தனாதுமலர்த் தாட்பூ சனை",மனத்து உருவம் ஆய மயல் ஆம் அகந்தை தனைத் துருவி உள்ளத்து உள் சார்தல் அனைத்தே மனாதீதம் ஆய மவுன குரு மூர்த்தி தனாது மலர்த்தாள் பூசனை
